S0,K,T,r,sigma,steps,binomial_price,nn_price,nn_error,moneyness_bucket,maturity_bucket,vol_bucket
130,100,0.25,0.02,0.4,100,0.9604915185299151,1.027119517326355,0.06662799879643988,OTM put,short (<=0.5y),high vol (>0.20)
130,100,0.25,0.05,0.15,100,0.0002294387820780594,0.006191783584654331,0.0059623448025762716,OTM put,short (<=0.5y),low vol (<=0.20)
130,100,0.25,0.05,0.25,100,0.06958811378922737,0.13571149110794067,0.0661233773187133,OTM put,short (<=0.5y),high vol (>0.20)
130,100,0.25,0.05,0.4,100,0.8871698556218316,0.9359768033027649,0.0488069476809333,OTM put,short (<=0.5y),high vol (>0.20)
130,100,0.5,0.02,0.15,100,0.01913296275362547,0.01693778485059738,-0.0021951779030280894,OTM put,short (<=0.5y),low vol (<=0.20)
130,100,0.5,0.02,0.25,100,0.5386442162069032,0.5033763647079468,-0.03526785149895639,OTM put,short (<=0.5y),high vol (>0.20)
130,100,0.5,0.02,0.4,100,2.8759202837229996,2.8272948265075684,-0.04862545721543121,OTM put,short (<=0.5y),high vol (>0.20)
130,100,0.5,0.05,0.15,100,0.012283761408285469,-0.02606327086687088,-0.038347032275156345,OTM put,short (<=0.5y),low vol (<=0.20)
130,100,0.5,0.05,0.25,100,0.4445076103929334,0.4014964699745178,-0.04301114041841558,OTM put,short (<=0.5y),high vol (>0.20)
130,100,0.5,0.05,0.4,100,2.6081150731708735,2.6437857151031494,0.03567064193227587,OTM put,short (<=0.5y),high vol (>0.20)
130,100,1.0,0.02,0.15,100,0.19820897341602856,0.208579421043396,0.01037044762736744,OTM put,long (>0.5y),low vol (<=0.20)
130,100,1.0,0.02,0.25,100,1.8404061206617068,1.866200566291809,0.025794445630102247,OTM put,long (>0.5y),high vol (>0.20)
130,100,1.0,0.02,0.4,100,6.385304746796726,6.448434829711914,0.06313008291518774,OTM put,long (>0.5y),high vol (>0.20)
130,100,1.0,0.05,0.15,100,0.11952823461516082,0.12895560264587402,0.009427368030713201,OTM put,long (>0.5y),low vol (<=0.20)
130,100,1.0,0.05,0.25,100,1.4589186767407951,1.4280261993408203,-0.030892477399974805,OTM put,long (>0.5y),high vol (>0.20)
130,100,1.0,0.05,0.4,100,5.633541772445814,5.669120788574219,0.03557901612840464,OTM put,long (>0.5y),high vol (>0.20)
130,100,2.0,0.02,0.15,100,0.8438893793190743,0.7872084379196167,-0.05668094139945756,OTM put,long (>0.5y),low vol (<=0.20)
130,100,2.0,0.02,0.25,100,4.3800092598519385,4.474576473236084,0.09456721338414553,OTM put,long (>0.5y),high vol (>0.20)
130,100,2.0,0.02,0.4,100,11.825282131984176,11.816679954528809,-0.00860217745536751,OTM put,long (>0.5y),high vol (>0.20)
130,100,2.0,0.05,0.15,100,0.4615515825690784,0.4475190043449402,-0.014032578224138226,OTM put,long (>0.5y),low vol (<=0.20)
130,100,2.0,0.05,0.25,100,3.278507835886216,3.2302777767181396,-0.04823005916807643,OTM put,long (>0.5y),high vol (>0.20)
130,100,2.0,0.05,0.4,100,10.027297946425055,9.954621315002441,-0.07267663142261327,OTM put,long (>0.5y),high vol (>0.20)
